,labels,messages,sentiment_default,score_default,pred_sentiment_default,accurate_default,sentiment_finbert,score_finbert,pred_sentiment_finbert,accurate_finbert
10,positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,"[{'label': 'POSITIVE', 'score': 0.9972901344299316}]",0.9972901344299316,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998553991317749}]",0.9998553991317749,positive,1
11,positive,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .","[{'label': 'POSITIVE', 'score': 0.9988734126091003}]",0.9988734126091003,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998111128807068}]",0.9998111128807068,positive,1
12,positive,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .","[{'label': 'NEGATIVE', 'score': 0.9908409118652344}]",0.9908409118652344,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9997777342796326}]",0.9997777342796326,positive,1
13,positive,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .","[{'label': 'NEGATIVE', 'score': 0.8372943997383118}]",0.8372943997383118,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9998373985290527}]",0.9998373985290527,positive,1
14,positive,"Clothing retail chain Sepp+Æl+Æ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .","[{'label': 'NEGATIVE', 'score': 0.8263503313064575}]",0.8263503313064575,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9998314380645752}]",0.9998314380645752,positive,1
15,positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .","[{'label': 'NEGATIVE', 'score': 0.991897463798523}]",0.991897463798523,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9998308420181274}]",0.9998308420181274,positive,1
16,positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .","[{'label': 'NEGATIVE', 'score': 0.8901104927062988}]",0.8901104927062988,NEGATIVE,0,"[{'label': 'positive', 'score': 0.999847412109375}]",0.999847412109375,positive,1
17,positive,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .","[{'label': 'NEGATIVE', 'score': 0.9694448113441467}]",0.9694448113441467,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9998045563697815}]",0.9998045563697815,positive,1
18,positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .","[{'label': 'NEGATIVE', 'score': 0.9634249806404114}]",0.9634249806404114,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9998005032539368}]",0.9998005032539368,positive,1
19,positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .","[{'label': 'NEGATIVE', 'score': 0.8220600485801697}]",0.8220600485801697,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9998424053192139}]",0.9998424053192139,positive,1
20,positive,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .","[{'label': 'POSITIVE', 'score': 0.9932242631912231}]",0.9932242631912231,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998511075973511}]",0.9998511075973511,positive,1
21,positive,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .","[{'label': 'POSITIVE', 'score': 0.9704445600509644}]",0.9704445600509644,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998235106468201}]",0.9998235106468201,positive,1
22,positive,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .","[{'label': 'NEGATIVE', 'score': 0.9233191013336182}]",0.9233191013336182,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9998254179954529}]",0.9998254179954529,positive,1
23,positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .","[{'label': 'NEGATIVE', 'score': 0.9243423938751221}]",0.9243423938751221,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9998255372047424}]",0.9998255372047424,positive,1
24,positive,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),"[{'label': 'POSITIVE', 'score': 0.764639139175415}]",0.764639139175415,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998490810394287}]",0.9998490810394287,positive,1
25,positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .","[{'label': 'POSITIVE', 'score': 0.9848616123199463}]",0.9848616123199463,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998219609260559}]",0.9998219609260559,positive,1
26,positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,"[{'label': 'POSITIVE', 'score': 0.9706538319587708}]",0.9706538319587708,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998422861099243}]",0.9998422861099243,positive,1
27,positive,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .","[{'label': 'POSITIVE', 'score': 0.5248230695724487}]",0.5248230695724487,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998447895050049}]",0.9998447895050049,positive,1
28,positive,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .","[{'label': 'POSITIVE', 'score': 0.6928703784942627}]",0.6928703784942627,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998461008071899}]",0.9998461008071899,positive,1
29,positive,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .","[{'label': 'NEGATIVE', 'score': 0.9380745887756348}]",0.9380745887756348,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9998458623886108}]",0.9998458623886108,positive,1
30,positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .","[{'label': 'NEGATIVE', 'score': 0.7142797708511353}]",0.7142797708511353,NEGATIVE,0,"[{'label': 'positive', 'score': 0.999829888343811}]",0.999829888343811,positive,1
31,positive,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .","[{'label': 'POSITIVE', 'score': 0.9778839349746704}]",0.9778839349746704,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998451471328735}]",0.9998451471328735,positive,1
32,positive,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .","[{'label': 'POSITIVE', 'score': 0.9858426451683044}]",0.9858426451683044,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998389482498169}]",0.9998389482498169,positive,1
33,positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .","[{'label': 'POSITIVE', 'score': 0.8950631618499756}]",0.8950631618499756,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998507499694824}]",0.9998507499694824,positive,1
34,positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .","[{'label': 'POSITIVE', 'score': 0.9681306481361389}]",0.9681306481361389,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998493194580078}]",0.9998493194580078,positive,1
35,positive,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,"[{'label': 'NEGATIVE', 'score': 0.9851531982421875}]",0.9851531982421875,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9998290538787842}]",0.9998290538787842,positive,1
36,positive,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .","[{'label': 'POSITIVE', 'score': 0.7454655766487122}]",0.7454655766487122,POSITIVE,1,"[{'label': 'positive', 'score': 0.9997817873954773}]",0.9997817873954773,positive,1
37,positive,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .","[{'label': 'NEGATIVE', 'score': 0.921789824962616}]",0.921789824962616,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9998306035995483}]",0.9998306035995483,positive,1
38,positive,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .","[{'label': 'POSITIVE', 'score': 0.8175288438796997}]",0.8175288438796997,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998711347579956}]",0.9998711347579956,positive,1
39,positive,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .","[{'label': 'NEGATIVE', 'score': 0.6528511047363281}]",0.6528511047363281,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9998204112052917}]",0.9998204112052917,positive,1
40,positive,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .","[{'label': 'POSITIVE', 'score': 0.8939256072044373}]",0.8939256072044373,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998472929000854}]",0.9998472929000854,positive,1
41,positive,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .","[{'label': 'NEGATIVE', 'score': 0.9489728808403015}]",0.9489728808403015,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9998277425765991}]",0.9998277425765991,positive,1
42,positive,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .","[{'label': 'NEGATIVE', 'score': 0.7158459424972534}]",0.7158459424972534,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9996784925460815}]",0.9996784925460815,positive,1
43,positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .","[{'label': 'NEGATIVE', 'score': 0.995272696018219}]",0.995272696018219,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9996883869171143}]",0.9996883869171143,positive,1
44,positive,Sales have risen in other export markets .,"[{'label': 'POSITIVE', 'score': 0.9956150054931641}]",0.9956150054931641,POSITIVE,1,"[{'label': 'positive', 'score': 0.9950594902038574}]",0.9950594902038574,positive,1
45,positive,Sales increased due to growing market rates and increased operations .,"[{'label': 'POSITIVE', 'score': 0.9995273351669312}]",0.9995273351669312,POSITIVE,1,"[{'label': 'positive', 'score': 0.9982389211654663}]",0.9982389211654663,positive,1
46,positive,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,"[{'label': 'POSITIVE', 'score': 0.9995468258857727}]",0.9995468258857727,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998412132263184}]",0.9998412132263184,positive,1
47,positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .","[{'label': 'POSITIVE', 'score': 0.7467777132987976}]",0.7467777132987976,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998550415039062}]",0.9998550415039062,positive,1
48,positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,"[{'label': 'POSITIVE', 'score': 0.8954822421073914}]",0.8954822421073914,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998626708984375}]",0.9998626708984375,positive,1
49,positive,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .","[{'label': 'NEGATIVE', 'score': 0.9947367310523987}]",0.9947367310523987,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9998587369918823}]",0.9998587369918823,positive,1
50,positive,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .","[{'label': 'POSITIVE', 'score': 0.9968089461326599}]",0.9968089461326599,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998457431793213}]",0.9998457431793213,positive,1
51,positive,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .","[{'label': 'NEGATIVE', 'score': 0.5084635615348816}]",0.5084635615348816,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9997389912605286}]",0.9997389912605286,positive,1
52,positive,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .","[{'label': 'POSITIVE', 'score': 0.9907570481300354}]",0.9907570481300354,POSITIVE,1,"[{'label': 'positive', 'score': 0.9996005892753601}]",0.9996005892753601,positive,1
53,positive,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .","[{'label': 'NEGATIVE', 'score': 0.679438591003418}]",0.679438591003418,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9943769574165344}]",0.9943769574165344,positive,1
54,positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .","[{'label': 'POSITIVE', 'score': 0.7028362154960632}]",0.7028362154960632,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998169541358948}]",0.9998169541358948,positive,1
55,positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,"[{'label': 'POSITIVE', 'score': 0.8335041999816895}]",0.8335041999816895,POSITIVE,1,"[{'label': 'positive', 'score': 0.9998397827148438}]",0.9998397827148438,positive,1
56,positive,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .","[{'label': 'NEGATIVE', 'score': 0.9795534610748291}]",0.9795534610748291,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9998315572738647}]",0.9998315572738647,positive,1
57,positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,"[{'label': 'NEGATIVE', 'score': 0.990114688873291}]",0.990114688873291,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9997944235801697}]",0.9997944235801697,positive,1
58,neutral,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .","[{'label': 'POSITIVE', 'score': 0.8815670609474182}]",0.8815670609474182,POSITIVE,0,"[{'label': 'neutral', 'score': 0.9997608065605164}]",0.9997608065605164,neutral,1
59,neutral,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .","[{'label': 'NEGATIVE', 'score': 0.9986155033111572}]",0.9986155033111572,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9995784163475037}]",0.9995784163475037,positive,0
60,neutral,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,"[{'label': 'POSITIVE', 'score': 0.9996318817138672}]",0.9996318817138672,POSITIVE,0,"[{'label': 'neutral', 'score': 0.8238074779510498}]",0.8238074779510498,neutral,1
61,neutral,"When this investment is in place , Atria plans to expand into the Moscow market .","[{'label': 'POSITIVE', 'score': 0.9939980506896973}]",0.9939980506896973,POSITIVE,0,"[{'label': 'positive', 'score': 0.9965115189552307}]",0.9965115189552307,positive,0
62,neutral,"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .","[{'label': 'NEGATIVE', 'score': 0.638617753982544}]",0.638617753982544,NEGATIVE,0,"[{'label': 'positive', 'score': 0.6700761914253235}]",0.6700761914253235,positive,0
63,positive,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .","[{'label': 'NEGATIVE', 'score': 0.9801848530769348}]",0.9801848530769348,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9997615218162537}]",0.9997615218162537,positive,1
64,neutral,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .","[{'label': 'POSITIVE', 'score': 0.9434240460395813}]",0.9434240460395813,POSITIVE,0,"[{'label': 'neutral', 'score': 0.9996445178985596}]",0.9996445178985596,neutral,1
65,positive,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .","[{'label': 'NEGATIVE', 'score': 0.5998556613922119}]",0.5998556613922119,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9993879795074463}]",0.9993879795074463,positive,1
66,positive,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,"[{'label': 'NEGATIVE', 'score': 0.975307822227478}]",0.975307822227478,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9980360865592957}]",0.9980360865592957,positive,1
67,neutral,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,"[{'label': 'NEGATIVE', 'score': 0.9823549389839172}]",0.9823549389839172,NEGATIVE,0,"[{'label': 'neutral', 'score': 0.9996910095214844}]",0.9996910095214844,neutral,1
68,positive,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .","[{'label': 'NEGATIVE', 'score': 0.8325098156929016}]",0.8325098156929016,NEGATIVE,0,"[{'label': 'positive', 'score': 0.9997617602348328}]",0.9997617602348328,positive,1
69,neutral,The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,"[{'label': 'NEGATIVE', 'score': 0.9205151200294495}]",0.9205151200294495,NEGATIVE,0,"[{'label': 'neutral', 'score': 0.9997876286506653}]",0.9997876286506653,neutral,1
70,positive,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .","[{'label': 'NEGATIVE', 'score': 0.9902100563049316}]",0.9902100563049316,NEGATIVE,0,"[{'label': 'positive', 'score': 0.999832034111023}]",0.999832034111023,positive,1
71,neutral,"- So , the sales growth of cars considerably influence on the tires market '' .","[{'label': 'POSITIVE', 'score': 0.9983028173446655}]",0.9983028173446655,POSITIVE,0,"[{'label': 'neutral', 'score': 0.9995315074920654}]",0.9995315074920654,neutral,1
72,neutral,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .","[{'label': 'NEGATIVE', 'score': 0.9903417825698853}]",0.9903417825698853,NEGATIVE,0,"[{'label': 'neutral', 'score': 0.9997485280036926}]",0.9997485280036926,neutral,1
73,neutral,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .","[{'label': 'POSITIVE', 'score': 0.7337601780891418}]",0.7337601780891418,POSITIVE,0,"[{'label': 'neutral', 'score': 0.9996271133422852}]",0.9996271133422852,neutral,1
74,neutral,"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .","[{'label': 'NEGATIVE', 'score': 0.5845956206321716}]",0.5845956206321716,NEGATIVE,0,"[{'label': 'positive', 'score': 0.8113837838172913}]",0.8113837838172913,positive,0
75,neutral,"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .","[{'label': 'NEGATIVE', 'score': 0.9973716735839844}]",0.9973716735839844,NEGATIVE,0,"[{'label': 'neutral', 'score': 0.9798474311828613}]",0.9798474311828613,neutral,1
76,neutral,"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .","[{'label': 'POSITIVE', 'score': 0.6677977442741394}]",0.6677977442741394,POSITIVE,0,"[{'label': 'neutral', 'score': 0.999790370464325}]",0.999790370464325,neutral,1
77,positive,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .","[{'label': 'POSITIVE', 'score': 0.8341715335845947}]",0.8341715335845947,POSITIVE,1,"[{'label': 'positive', 'score': 0.999868631362915}]",0.999868631362915,positive,1
78,neutral,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,"[{'label': 'NEGATIVE', 'score': 0.9818798303604126}]",0.9818798303604126,NEGATIVE,0,"[{'label': 'neutral', 'score': 0.9927969574928284}]",0.9927969574928284,neutral,1
79,positive,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,"[{'label': 'NEGATIVE', 'score': 0.9818798303604126}]",0.9818798303604126,NEGATIVE,0,"[{'label': 'neutral', 'score': 0.9927969574928284}]",0.9927969574928284,neutral,0
80,neutral,"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .","[{'label': 'NEGATIVE', 'score': 0.9587080478668213}]",0.9587080478668213,NEGATIVE,0,"[{'label': 'neutral', 'score': 0.999665379524231}]",0.999665379524231,neutral,1
81,neutral,The fuel purchase contracts have been signed with three months ' delivery from this September to November .,"[{'label': 'NEGATIVE', 'score': 0.9837677478790283}]",0.9837677478790283,NEGATIVE,0,"[{'label': 'neutral', 'score': 0.9996724128723145}]",0.9996724128723145,neutral,1
82,neutral,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,"[{'label': 'POSITIVE', 'score': 0.8780364394187927}]",0.8780364394187927,POSITIVE,0,"[{'label': 'neutral', 'score': 0.9997634291648865}]",0.9997634291648865,neutral,1
83,positive,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,"[{'label': 'POSITIVE', 'score': 0.9079657196998596}]",0.9079657196998596,POSITIVE,1,"[{'label': 'positive', 'score': 0.9995675683021545}]",0.9995675683021545,positive,1
